id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Year Released
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,82,192120,0,['One Direction'],['4AK6F7OLvEQ5QYCBNiQWHq'],2015-11-13,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,4,2015
04aAxqtGp5pv12UXAg4pkq,Centuries,82,228360,0,['Fall Out Boy'],['4UXqAaa6dQYAk18Lv7PEgX'],2015-01-20,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,4,2015
09CtPGIpYB4BrO8qb1RGsF,Sorry,81,200787,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2015-11-13,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,4,2015
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,81,258267,0,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],2015-12-04,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,2015
3hRV0jL3vUpRrcy398teAU,The Night We Met,81,208212,0,['Lord Huron'],['6ltzsmQQbmdoHHbLZ4ZN25'],2015-04-06,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01,3,2015
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,81,230613,0,['Avicii'],['1vCWHaC5f2uS3yhpwWbIA6'],2015-10-02,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,2015
2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),80,225053,0,"['Meghan Trainor', 'John Legend']","['6JL8zeS1NmiOftqZTRgdTz', '5y2Xq6xcjJb2jVM54GHK3t']",2015-01-09,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,3,2015
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,80,293293,0,['Chris Stapleton'],['4YLtscXsxbVgi031ovDDdh'],2015-05-04,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4,2015
78TTtXnFQPzwqlbtbwqN0y,FourFiveSeconds,80,188238,0,"['Rihanna', 'Kanye West', 'Paul McCartney']","['5pKCCKE2ajJHZ9KAiaK11H', '5K4W6rqBFWDnAN6FQUkS6x', '4STHEaNw4mPZ2tzheohgXB']",2015-01-24,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,4,2015
4PhsKqMdgMEUSstTDAmMpg,Often,80,249040,1,['The Weeknd'],['1Xyo4u8uXC1ZmMpatF05PJ'],2015-08-28,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,4,2015
