,,key1/C#
acousticness,energy,-0.593856586987531
duration_ms,Year Released,-0.39585491081971225
energy,loudness,0.647684205756425
explicit,speechiness,0.4088227547691328
loudness,acousticness,-0.4493426678083037
valence,danceability,0.41266652191765896
valence,energy,0.33996487366544
