,,key2/D
Year Released,loudness,0.3125530682119255
duration_ms,Year Released,-0.3760783494091668
energy,acousticness,-0.5157691633286076
explicit,speechiness,0.48184643717235226
instrumentalness,loudness,-0.34968439127358464
instrumentalness,time_signature,-0.37378303921573885
instrumentalness,valence,-0.3087156219943544
loudness,energy,0.7126434002051204
valence,energy,0.4556062743147725
valence,loudness,0.47915143166710983
